Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
CLEC16A,"Gop-1, KIAA0350",ENSG00000038532,C-type lectin domain family 16 member A,16,10944488-11182189,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA035814, HPA035815, HPA061385",Approved,NA,Approved,Nucleus<br>Vesicles,Renal cancer:2.92e-6 (favourable),Expressed in all,Expressed in all,NA,NA,testis: 60.3,Expressed in all,NA,NA
CLEC7A,"CD369, CLECSF12, dectin-1, hDectin-1, SCARE2",ENSG00000172243,C-type lectin domain family 7 member A,12,10116777-10130258,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043244, HPA050229",NA,NA,Approved,Nucleoplasm<br>Vesicles,Renal cancer:1.31e-4 (unfavourable),Expressed in all,Tissue enhanced,NA,appendix: 65.6,bone marrow: 53.3,Group enriched,15,Karpas-707: 144.0;U-266/84: 116.1
CLINT1,"CLINT, ENTH, EPNR, KIAA0171",ENSG00000113282,Clathrin interactor 1,5,157785743-157859175,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA043280, HPA056947",Supported,NA,Supported,Nucleoplasm<br>Vesicles,"Renal cancer:8.88e-5 (favourable), Colorectal cancer:2.95e-4 (favourable), Thyroid cancer:6.77e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 171.0,Expressed in all,NA,NA
CLIP4,"FLJ21069, RSNL2",ENSG00000115295,CAP-Gly domain containing linker protein family member 4,2,29097705-29189643,Predicted intracellular proteins,Evidence at protein level,"HPA043366, HPA056246",Uncertain,NA,Enhanced,Vesicles,Renal cancer:1.83e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,thyroid gland: 55.8,Mixed,NA,NA
CLN6,"FLJ20561, HsT18960, nclf",ENSG00000128973,"Ceroid-lipofuscinosis, neuronal 6, late infantile, variant",15,68206992-68257211,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA066046, HPA074162",Approved,NA,Approved,Vesicles,Renal cancer:4.87e-4 (favourable),Expressed in all,Expressed in all,NA,NA,appendix: 19.8,Expressed in all,NA,NA
CLNK,MIST,ENSG00000109684,Cytokine dependent hematopoietic cell linker,4,10486395-10684865,Predicted intracellular proteins,Evidence at protein level,"HPA035671, HPA035672",Uncertain,NA,Uncertain,Vesicles,NA,Tissue enriched,Tissue enhanced,NA,kidney: 5.8,lymph node: 3.4,Group enriched,6,HDLM-2: 3.9;U-937: 1.6
CLPSL2,"C6orf126, dJ510O8.5, UNQ3045",ENSG00000196748,Colipase like 2,6,35776594-35779552,Predicted secreted proteins,Evidence at protein level,"HPA043460, HPA051655",Approved,NA,Uncertain,Vesicles,NA,Tissue enhanced,Tissue enriched,703,epididymis: 713.1,seminal vesicle: 1.0,Cell line enriched,6,T-47d: 6.6
CLTA,Lca,ENSG00000122705,Clathrin light chain A,9,36190856-36304781,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002665, HPA050918, HPA054667",Enhanced,NA,Enhanced,Vesicles<br>Endosomes<br>Lysosomes,"Liver cancer:9.46e-5 (unfavourable), Thyroid cancer:1.01e-4 (favourable), Breast cancer:5.64e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,placenta: 178.0,Expressed in all,NA,NA
CLTC,"CLTCL2, Hc",ENSG00000141367,Clathrin heavy chain,17,59619689-59696956,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB010389, CAB011571, CAB017155, HPA059143",Approved,NA,Enhanced,Vesicles<br>Mitotic spindle<br>Cytosol,"Urothelial cancer:2.02e-4 (unfavourable), Liver cancer:5.54e-4 (unfavourable), Cervical cancer:7.35e-4 (unfavourable), Colorectal cancer:7.65e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 365.5,Expressed in all,NA,NA
CLTCL1,"CHC22, CLH22, CLTCL, CLTD",ENSG00000070371,Clathrin heavy chain like 1,22,19179473-19291716,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA075795,NA,NA,Approved,Vesicles,NA,Mixed,Tissue enhanced,NA,skeletal muscle: 24.1;testis: 49.4,bone marrow: 10.4,Cell line enhanced,NA,HMC-1: 56.9
CLUAP1,"CFAP22, FAP22, FLJ13297, IFT38, KIAA0643",ENSG00000103351,Clusterin associated protein 1,16,3500924-3539048,Predicted intracellular proteins,Evidence at protein level,"HPA036976, HPA044191",Uncertain,NA,Supported,Nucleoplasm<br>Vesicles,Endometrial cancer:3.01e-4 (favourable),Expressed in all,Expressed in all,NA,NA,testis: 71.9,Mixed,NA,NA
CLUH,"CLU1, KIAA0664",ENSG00000132361,Clustered mitochondria homolog,17,2689386-2712663,Predicted intracellular proteins,Evidence at protein level,"HPA031505, HPA044346",Uncertain,NA,Supported,Nuclear bodies<br>Vesicles,Renal cancer:1.92e-5 (favourable),Expressed in all,Expressed in all,NA,NA,esophagus: 50.7,Expressed in all,NA,NA
CMTM5,"CKLFSF5, FLJ37521",ENSG00000166091,CKLF like MARVEL transmembrane domain containing 5,14,23376808-23379772,Predicted membrane proteins,Evidence at protein level,HPA052338,Enhanced,NA,Approved,Golgi apparatus<br>Vesicles,NA,Group enriched,Tissue enriched,20,cerebral cortex: 81.3,seminal vesicle: 4.1,Cell line enriched,6,HEL: 73.9
CNGB1,"CNCG2, CNCG3L, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RP45",ENSG00000070729,Cyclic nucleotide gated channel beta 1,16,57882340-57971116,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA039159, HPA060355",NA,NA,Approved,Vesicles<br>Cytosol,NA,Tissue enriched,Tissue enhanced,NA,adrenal gland: 1.6,"appendix,cerebral cortex: 1.5",Cell line enhanced,NA,SCLC-21H: 2.6;SiHa: 3.1
CNIH1,"CNIH, CNIL, TGAM77",ENSG00000100528,Cornichon family AMPA receptor auxiliary protein 1,14,54423560-54441431,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA002544,Approved,NA,Approved,Vesicles,Urothelial cancer:8.95e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,liver: 119.4,Expressed in all,NA,NA
CNNM2,ACDP2,ENSG00000148842,Cyclin and CBS domain divalent metal cation transport mediator 2,10,102918293-103090221,"Disease related genes, Predicted membrane proteins",Evidence at protein level,"HPA059954, HPA071631",NA,NA,Enhanced,Vesicles,Renal cancer:2.39e-8 (favourable),Expressed in all,Tissue enhanced,NA,parathyroid gland: 33.6,placenta: 12.4,Expressed in all,NA,NA
CNPY4,"MGC40499, PRAT4B",ENSG00000166997,Canopy FGF signaling regulator 4,7,100119613-100125511,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA014166, HPA025240",Uncertain,NA,Approved,Vesicles,"Renal cancer:3.59e-5 (unfavourable), Liver cancer:3.99e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,endometrium: 34.8,Expressed in all,NA,NA
CNST,"C1orf71, FLJ32001, PPP1R64",ENSG00000162852,"Consortin, connexin sorting protein",1,246566444-246668584,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA007225, HPA007226",Approved,NA,Supported,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 26.3,Expressed in all,NA,NA
CNTF,HCNTF,ENSG00000242689,Ciliary neurotrophic factor,11,58622673-58625733,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA019654,Uncertain,NA,Approved,Vesicles,NA,Mixed,Tissue enhanced,NA,fallopian tube: 7.7,bone marrow: 4.3,Mixed,NA,NA
CNTNAP5,"caspr5, FLJ31966",ENSG00000155052,Contactin associated protein like 5,2,124025287-124915287,Predicted membrane proteins,Evidence at protein level,"HPA069095, HPA069356",NA,NA,Supported,Nucleus<br>Nucleoli fibrillar center<br>Vesicles,NA,Tissue enhanced,Tissue enhanced,NA,cerebral cortex: 5.8;gallbladder: 1.6,adrenal gland: 0.7,Cell line enhanced,NA,AF22: 1.1;SH-SY5Y: 2.8
COCH,"COCH-5B2, DFNA31, DFNA9",ENSG00000100473,Cochlin,14,30874514-30895065,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA065086,NA,NA,Approved,Vesicles,NA,Mixed,Group enriched,6,pancreas: 94.8;prostate: 79.0;seminal vesicle: 99.1,"cervix, uterine: 15.4",Cell line enhanced,NA,HEK93: 92.9;K-562: 114.9;NB-4: 71.8;SCLC-21H: 130.1
COG4,"COD1, DKFZP586E1519",ENSG00000103051,Component of oligomeric golgi complex 4,16,70480568-70523565,Predicted intracellular proteins,Evidence at protein level,"HPA040924, HPA042539",Approved,NA,Approved,Golgi apparatus<br>Vesicles,Liver cancer:1.64e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 49.1,Expressed in all,NA,NA
COL14A1,UND,ENSG00000187955,Collagen type XIV alpha 1 chain,8,120059780-120372036,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA023781,Uncertain,NA,Approved,Vesicles,"Renal cancer:5.79e-5 (unfavourable), Urothelial cancer:1.01e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,"cervix, uterine: 278.5",gallbladder: 207.5,Group enriched,7,ASC TERT1: 28.1;RH-30: 106.3
COL1A1,OI4,ENSG00000108821,Collagen type I alpha 1 chain,17,50183289-50201632,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA008405, HPA011795",Uncertain,NA,Approved,Vesicles<br>Cytosol,"Renal cancer:7.19e-12 (unfavourable), Lung cancer:4.43e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,"cervix, uterine: 1872.5",Cell line enhanced,NA,BJ: 2487.8;fHDF/TERT166: 3474.4;HSkMC: 1569.1;U-138 MG: 2286.9
COL22A1,NA,ENSG00000169436,Collagen type XXII alpha 1 chain,8,138588235-138914006,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA024830,Supported,NA,Supported,Endoplasmic reticulum<br>Vesicles,"Lung cancer:2.13e-6 (unfavourable), Glioma:3.62e-4 (unfavourable)",Mixed,Tissue enhanced,NA,adrenal gland: 9.7,prostate: 4.8,Group enriched,5,HDLM-2: 27.1;RT4: 9.7;SCLC-21H: 9.4;U-2 OS: 6.9
COL25A1,NA,ENSG00000188517,Collagen type XXV alpha 1 chain,4,108810721-109302657,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA029107,NA,NA,Approved,Endoplasmic reticulum<br>Vesicles<br>Cytosol,NA,Mixed,Tissue enhanced,NA,testis: 20.4,adipose tissue: 7.5,Cell line enriched,6,HeLa: 37.1
COL26A1,"EMI6, EMID2, Emu2",ENSG00000160963,Collagen type XXVI alpha 1 chain,7,101362820-101559024,Predicted secreted proteins,Evidence at protein level,HPA027059,Approved,NA,Approved,Vesicles,Liver cancer:2.32e-5 (favourable),Group enriched,Tissue enhanced,NA,cerebral cortex: 10.2;parathyroid gland: 5.4,prostate: 3.1,Cell line enhanced,NA,AF22: 29.3;BEWO: 22.8;HAP1: 10.9;NTERA-2: 25.1
COL4A2,"DKFZp686I14213, FLJ22259",ENSG00000134871,Collagen type IV alpha 2 chain,13,110305812-110513027,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB010751, HPA029118",Enhanced,NA,Supported,Vesicles,"Renal cancer:3.49e-5 (unfavourable), Urothelial cancer:9.25e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,placenta: 829.9,smooth muscle: 401.0,Cell line enhanced,NA,EFO-21: 1032.9;WM-115: 470.6
COL4A3,NA,ENSG00000169031,Collagen type IV alpha 3 chain,2,227164565-227314792,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA042064,Approved,NA,Approved,Endoplasmic reticulum<br>Vesicles,Renal cancer:2.51e-7 (favourable),Group enriched,Tissue enhanced,NA,thyroid gland: 26.8,lung: 22.4,Cell line enhanced,NA,HeLa: 10.8;Karpas-707: 7.1;RPTEC TERT1: 8.3;U-266/70: 6.7
COL5A1,NA,ENSG00000130635,Collagen type V alpha 1 chain,9,134641774-134844843,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA030769,Approved,NA,Approved,Vesicles,Renal cancer:2.07e-12 (unfavourable),Expressed in all,Mixed,NA,NA,"cervix, uterine: 157.8",Cell line enhanced,NA,BJ: 370.0;fHDF/TERT166: 317.6;SiHa: 305.8
COL8A1,"C3orf7, MGC9568",ENSG00000144810,Collagen type VIII alpha 1 chain,3,99638475-99799226,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA053107,Enhanced,NA,Supported,Vesicles,Renal cancer:9.39e-8 (unfavourable),Expressed in all,Tissue enhanced,NA,parathyroid gland: 87.4,lung: 56.9,Cell line enhanced,NA,fHDF/TERT166: 930.0;LHCN-M2: 289.1;TIME: 423.8
COL9A2,"EDM2, MED",ENSG00000049089,Collagen type IX alpha 2 chain,1,40300487-40317816,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA056316, HPA075286",Approved,NA,Approved,Nucleus<br>Vesicles,Endometrial cancer:5.13e-4 (unfavourable),Expressed in all,Tissue enhanced,NA,parathyroid gland: 53.4,seminal vesicle: 32.4,Cell line enhanced,NA,HDLM-2: 91.5;HMC-1: 79.4;THP-1: 69.5
COLGALT1,"FLJ22329, GLT25D1",ENSG00000130309,Collagen beta(1-O)galactosyltransferase 1,19,17555594-17583162,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA047821,Approved,NA,Approved,Vesicles,"Renal cancer:0.00e+0 (unfavourable), Liver cancer:1.65e-5 (unfavourable), Pancreatic cancer:1.92e-4 (unfavourable), Urothelial cancer:3.83e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 58.0,Expressed in all,NA,NA
COLGALT2,"C1orf17, GLT25D2, KIAA0584",ENSG00000198756,Collagen beta(1-O)galactosyltransferase 2,1,183929854-184037729,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA031749, HPA031750",Approved,NA,Approved,Nucleus<br>Vesicles,NA,Tissue enhanced,Tissue enriched,5,cerebral cortex: 46.4,prostate: 8.8,Cell line enhanced,NA,Hep G2: 11.7;SK-MEL-30: 14.3;U-251 MG: 14.6;WM-115: 22.1
COMMD7,"C20orf92, dJ1085F17.3",ENSG00000149600,COMM domain containing 7,20,32702691-32743997,Predicted intracellular proteins,Evidence at protein level,HPA054119,NA,NA,Supported,Vesicles,"Liver cancer:1.46e-4 (unfavourable), Urothelial cancer:3.53e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 80.3,Expressed in all,NA,NA
COMT,NA,ENSG00000093010,Catechol-O-methyltransferase,22,19941607-19969975,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA001169, CAB011233",Enhanced,NA,Approved,Endoplasmic reticulum<br>Vesicles,"Endometrial cancer:3.68e-4 (favourable), Prostate cancer:5.67e-4 (favourable), Renal cancer:9.76e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 172.6,Expressed in all,NA,NA
COPB1,COPB,ENSG00000129083,Coatomer protein complex subunit beta 1,11,14443440-14500027,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB012338, HPA043954, HPA064403",Supported,NA,Enhanced,Golgi apparatus<br>Vesicles<br>Cytosol,"Liver cancer:5.63e-7 (unfavourable), Head and neck cancer:6.91e-4 (unfavourable), Pancreatic cancer:8.04e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 132.5,Expressed in all,NA,NA
COPS2,"ALIEN, CSN2, TRIP15",ENSG00000166200,COP9 signalosome subunit 2,15,49106068-49155661,Predicted intracellular proteins,Evidence at protein level,"HPA016867, HPA018271, HPA061071",Approved,NA,Enhanced,Vesicles<br>Cytokinetic bridge,NA,Expressed in all,Expressed in all,NA,NA,thyroid gland: 103.5,Expressed in all,NA,NA
CPE,NA,ENSG00000109472,Carboxypeptidase E,4,165361194-165498320,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA003819, CAB024907",Supported,NA,Approved,Nucleoplasm<br>Vesicles<br>Centrosome,"Urothelial cancer:2.12e-4 (unfavourable), Renal cancer:2.60e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 1560.8,Group enriched,5,Hep G2: 211.8;SCLC-21H: 493.5;SH-SY5Y: 147.0;SiHa: 668.1
CPEB4,KIAA1673,ENSG00000113742,Cytoplasmic polyadenylation element binding protein 4,5,173888280-173961976,Predicted intracellular proteins,Evidence at protein level,HPA038394,NA,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Vesicles,Renal cancer:4.99e-8 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 119.8,Cell line enhanced,NA,U-266/70: 86.1;U-266/84: 121.7
CPLX1,CPX-I,ENSG00000168993,Complexin 1,4,784957-826198,Predicted intracellular proteins,Evidence at protein level,HPA071191,NA,NA,Uncertain,Vesicles,"Cervical cancer:4.20e-4 (unfavourable), Pancreatic cancer:5.05e-4 (favourable)",Expressed in all,Tissue enriched,11,cerebral cortex: 60.2,adipose tissue: 5.3,Cell line enriched,7,SCLC-21H: 95.0
CPLX2,"CPX-2, DKFZp547D155",ENSG00000145920,Complexin 2,5,175796310-175884020,Predicted intracellular proteins,Evidence at protein level,HPA071191,NA,NA,Uncertain,Vesicles,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 236.4;epididymis: 145.5,adrenal gland: 44.3,Group enriched,19,A549: 549.3;Hep G2: 253.5;SCLC-21H: 296.3
CPM,NA,ENSG00000135678,Carboxypeptidase M,12,68842197-68971570,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA002657, HPA077243",Uncertain,NA,Uncertain,Vesicles,Endometrial cancer:1.00e-4 (favourable),Expressed in all,Tissue enhanced,NA,adipose tissue: 164.0,placenta: 101.2,Cell line enhanced,NA,ASC diff: 48.8;ASC TERT1: 35.1;HSkMC: 66.3;SiHa: 73.7
CPQ,"LDP, PGCP",ENSG00000104324,Carboxypeptidase Q,8,96645227-97149654,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA023235, HPA024490",Enhanced,NA,Supported,Golgi apparatus<br>Vesicles,"Renal cancer:5.40e-5 (favourable), Glioma:9.75e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 382.5,Cell line enhanced,NA,ASC TERT1: 92.2
CPSF2,KIAA1367,ENSG00000165934,Cleavage and polyadenylation specific factor 2,14,92121937-92172145,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA024238,Supported,NA,Approved,Nucleoplasm<br>Vesicles,Liver cancer:4.35e-7 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 47.7,Expressed in all,NA,NA
CRB1,"LCA8, RP12",ENSG00000134376,"Crumbs 1, cell polarity complex component",1,197268204-197478455,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA061250, HPA063127",Approved,NA,Uncertain,Vesicles,NA,Tissue enriched,Group enriched,10,cerebral cortex: 12.2;testis: 5.0,ovary: 0.8,Cell line enriched,5,HeLa: 9.0
CREG1,CREG,ENSG00000143162,Cellular repressor of E1A stimulated genes 1,1,167529677-167553767,Predicted secreted proteins,Evidence at protein level,HPA056390,NA,NA,Approved,Vesicles<br>Microtubules,NA,Expressed in all,Expressed in all,NA,NA,thyroid gland: 209.5,Expressed in all,NA,NA
CREM,hCREM-2,ENSG00000095794,CAMP responsive element modulator,10,35126791-35212958,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA001818, CAB018352",Enhanced,NA,Supported,Nucleus<br>Vesicles,Renal cancer:1.23e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 339.8,Expressed in all,NA,NA
CROT,COT,ENSG00000005469,Carnitine O-octanoyltransferase,7,87345681-87399795,"Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA019052, HPA019364, HPA019365",Enhanced,NA,Supported,Vesicles,"Renal cancer:2.55e-6 (favourable), Urothelial cancer:4.02e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 68.4,Cell line enhanced,NA,RT4: 57.9
CSAG1,"CSAGE, CT24.1",ENSG00000198930,Chondrosarcoma associated gene 1,X,152727484-152733735,Predicted intracellular proteins,Evidence at transcript level,HPA078264,NA,NA,Approved,Vesicles,NA,Mixed,Tissue enhanced,NA,testis: 2.4,lymph node: 0.8,Cell line enhanced,NA,HMC-1: 57.5;K-562: 39.8;PC-3: 55.8;SH-SY5Y: 39.1;U-266/70: 79.2
CSAG2,"CSAG3B, CT24.2, TRAG3",ENSG00000268902,CSAG family member 2,X,152708261-152714549,Predicted intracellular proteins,Evidence at transcript level,HPA078264,NA,NA,Approved,Vesicles,NA,Mixed,Not detected,NA,NA,"lymph node,testis: 0.9",Cell line enhanced,NA,HMC-1: 13.5;SK-BR-3: 4.8;U-266/70: 3.9;U-266/84: 4.7
CSAG3,CSAG3A,ENSG00000268916,CSAG family member 3,X,152753921-152760222,Predicted intracellular proteins,Evidence at transcript level,HPA078264,NA,NA,Approved,Vesicles,NA,Mixed,Group enriched,10,lymph node: 1.7;skin: 1.2;spleen: 1.9;testis: 4.2,"adipose tissue,lung,placenta: 0.2",Cell line enhanced,NA,HDLM-2: 23.7;HMC-1: 22.9;SH-SY5Y: 35.8;SK-BR-3: 23.6;U-2 OS: 25.4;U-266/70: 61.5;U-266/84: 30.6
CSF2,"GM-CSF, GMCSF",ENSG00000164400,Colony stimulating factor 2,5,132073790-132076170,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,"HPA057404, HPA062006",NA,NA,Enhanced,Vesicles,NA,Mixed,Tissue enhanced,NA,lung: 3.0,urinary bladder: 0.9,Cell line enhanced,NA,BJ hTERT+: 74.1;hTEC/SVTERT24-B: 20.9
CSK,NA,ENSG00000103653,C-src tyrosine kinase,15,74782057-74803198,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB011203, HPA026488, HPA028425",Approved,Approved,Approved,Vesicles<br>Cytosol,"Cervical cancer:5.14e-5 (favourable), Stomach cancer:1.07e-4 (favourable), Renal cancer:1.74e-4 (unfavourable), Endometrial cancer:8.22e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,lymph node: 195.2,Expressed in all,NA,NA
CSMD1,"KIAA1890, PPP1R24",ENSG00000183117,CUB and Sushi multiple domains 1,8,2935353-4994972,Predicted membrane proteins,Evidence at protein level,HPA074707,NA,NA,Approved,Vesicles,NA,Tissue enhanced,Tissue enhanced,NA,cerebral cortex: 6.2;testis: 4.7,fallopian tube: 1.1,Cell line enhanced,NA,K-562: 4.4;U-2 OS: 2.3;U-266/70: 1.7;U-266/84: 1.5;U-698: 1.3
CSNK1G2,CK1g2,ENSG00000133275,Casein kinase 1 gamma 2,19,1941149-1981338,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA034868, HPA056572",Uncertain,NA,Approved,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,testis: 76.8,Expressed in all,NA,NA
CSNK2A2,"CK2alpha', CSNK2A1",ENSG00000070770,Casein kinase 2 alpha 2,16,58157907-58197920,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA077719,NA,NA,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,"Head and neck cancer:1.40e-5 (unfavourable), Liver cancer:1.80e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 237.6,Expressed in all,NA,NA
CSRNP1,"AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1",ENSG00000144655,Cysteine and serine rich nuclear protein 1,3,39141855-39154562,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA045207, HPA058463",NA,NA,Enhanced,Nucleoplasm<br>Vesicles,"Renal cancer:1.07e-4 (favourable), Stomach cancer:6.47e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,bone marrow: 123.5,Cell line enhanced,NA,SK-BR-3: 48.5
CST3,NA,ENSG00000101439,Cystatin C,20,23626706-23638473,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000118, HPA013143",Enhanced,NA,Supported,Golgi apparatus<br>Vesicles,"Endometrial cancer:1.83e-4 (favourable), Urothelial cancer:8.77e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 1265.8,Cell line enhanced,NA,ASC diff: 1105.8
CTDP1,FCP1,ENSG00000060069,CTD phosphatase subunit 1,18,79679801-79756623,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB032641, HPA040394, HPA070389",Supported,NA,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:5.51e-5 (favourable), Endometrial cancer:6.43e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 19.6,Expressed in all,NA,NA
CTDSPL,"C3orf8, HYA22, PSR1, RBSP3, SCP3",ENSG00000144677,CTD small phosphatase like,3,37861960-37984469,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA048325,Approved,NA,Approved,Nucleoplasm<br>Vesicles,Renal cancer:6.22e-14 (favourable),Expressed in all,Expressed in all,NA,NA,skin: 65.7,Mixed,NA,NA
CTNS,"CTNS-LSB, PQLC4",ENSG00000040531,"Cystinosin, lysosomal cystine transporter",17,3636468-3661542,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA046947,NA,NA,Supported,Vesicles<br>Intermediate filaments,"Pancreatic cancer:6.39e-5 (favourable), Head and neck cancer:7.33e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 42.6,Expressed in all,NA,NA
CTSA,"GSL, PPGB",ENSG00000064601,Cathepsin A,20,45890144-45898820,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB024930, HPA031068",Enhanced,NA,Enhanced,Vesicles,Liver cancer:1.95e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,adrenal gland: 243.4,Expressed in all,NA,NA
CTSB,NA,ENSG00000164733,Cathepsin B,8,11842524-11869448,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000457, HPA018156",Uncertain,NA,Supported,Nucleoli<br>Vesicles,"Thyroid cancer:5.76e-4 (favourable), Urothelial cancer:9.02e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 2894.5,Expressed in all,NA,NA
